,_time,_value
118,2022-01-26T02:00:00Z,149.75
119,2022-01-26T02:01:00Z,150.4
120,2022-01-26T02:02:00Z,149.85
121,2022-01-26T02:03:00Z,149.36666666666667
122,2022-01-26T02:04:00Z,149.28333333333333
123,2022-01-26T02:05:00Z,148.58333333333334
124,2022-01-26T02:06:00Z,148.41666666666666
125,2022-01-26T02:07:00Z,148.31666666666666
126,2022-01-26T02:08:00Z,148.33333333333334
127,2022-01-26T02:09:00Z,147.9
128,2022-01-26T02:10:00Z,148.6
129,2022-01-26T02:11:00Z,147.05
130,2022-01-26T02:12:00Z,144.78333333333333
131,2022-01-26T02:13:00Z,81.1
132,2022-01-26T02:14:00Z,81.53333333333333
133,2022-01-26T02:15:00Z,81.78333333333333
134,2022-01-26T02:16:00Z,81.56666666666666
135,2022-01-26T02:17:00Z,81.6
136,2022-01-26T02:18:00Z,81.55
137,2022-01-26T02:19:00Z,81.55
138,2022-01-26T02:20:00Z,81.51666666666667
139,2022-01-26T02:21:00Z,81.58333333333333
140,2022-01-26T02:22:00Z,81.58333333333333
141,2022-01-26T02:23:00Z,81.68333333333334
142,2022-01-26T02:24:00Z,80.4
143,2022-01-26T02:25:00Z,80.45
144,2022-01-26T02:26:00Z,80.53333333333333
145,2022-01-26T02:27:00Z,80.6
146,2022-01-26T02:28:00Z,80.61666666666666
147,2022-01-26T02:29:00Z,80.9
148,2022-01-26T02:30:00Z,80.58333333333333
149,2022-01-26T02:31:00Z,80.35
150,2022-01-26T02:32:00Z,80.3
151,2022-01-26T02:33:00Z,80.45
152,2022-01-26T02:34:00Z,80.65
153,2022-01-26T02:35:00Z,80.55
154,2022-01-26T02:36:00Z,80.95
155,2022-01-26T02:37:00Z,80.96666666666667
156,2022-01-26T02:38:00Z,81.61666666666666
157,2022-01-26T02:39:00Z,81.91666666666667
158,2022-01-26T02:40:00Z,81.88333333333334
159,2022-01-26T02:41:00Z,81.85
160,2022-01-26T02:42:00Z,81.73333333333333
161,2022-01-26T02:43:00Z,82.08333333333333
162,2022-01-26T02:44:00Z,82.3
163,2022-01-26T02:45:00Z,81.96666666666667
164,2022-01-26T02:46:00Z,81.86666666666666
165,2022-01-26T02:47:00Z,81.8
166,2022-01-26T02:48:00Z,81.8
167,2022-01-26T02:49:00Z,81.8
168,2022-01-26T02:50:00Z,81.88333333333334
169,2022-01-26T02:51:00Z,81.96666666666667
170,2022-01-26T02:52:00Z,81.71666666666667
171,2022-01-26T02:53:00Z,81.78333333333333
172,2022-01-26T02:54:00Z,81.98333333333333
173,2022-01-26T02:55:00Z,82.0
174,2022-01-26T02:56:00Z,82.1
175,2022-01-26T02:57:00Z,82.18333333333334
176,2022-01-26T02:58:00Z,82.25
